StopName;Latitude;Longitude;MatchedAs;Score
Al.JANA PAWŁA II - CMENTARZ;50.585200150000006;22.050256484462246;Al. Jana Pawła II cmentarz 08;94
KWIATKOWSKIEGO - STREFA;50.557458;22.052049;Kwiatkowskiego Strefa 05;93
OKULICKIEGO - BANK;50.5781281;22.05158322510002;Okulickiego bank 04;91
DĄBROWSKIEGO - DWORZEC PKP-01;50.5909992;22.0431437;Dąbrowskiego dworzec PKP 01;100
CZARNIECKIEGO - Os.ZASANIE;50.56707305;22.090366859944204;Czarnieckiego Os. Zasanie 04;94
POPIEŁUSZKI - DMOWSKIEGO;50.565725;22.0529730802658;Popiełuszki Dmowskiego 05;94
KEN - STACJA PALIW;50.570876;22.046096118806098;KEN stacja paliw 05;91
OGRODOWA - WIADUKT;50.6072367;22.035227110796413;Ogrodowa wiadukt 02;91
DĄBROWSKIEGO - DWORZEC PKP-02;50.5916133;22.0420479;Dąbrowskiego dworzec PKP 02;100
PODLEŚNA - DOM DZIECKA;50.569862650000005;22.05039565913313;Podleśna dom dziecka 02;93
OKULICKIEGO - ZBR;50.5774999;22.05182545;Okulickiego ZBR 03;91
PRZEMYSŁOWA - STACJA PALIW;50.5767637;22.044758233576644;Przemysłowa stacja paliw 01;94
ENERGETYKÓW - SOPOCKA;50.5420277;22.0894892;Energetyków Sopocka 01;92
CZARNIECKIEGO -  DZIAŁKI;50.56729685;22.089297050908453;Czarnieckiego działki 01;93
KLASZTORNA - CMENTARZ;50.58501555;22.04699580076239;Klasztorna cmentarz 01;93
KASPRZYCKIEGO - ZZN-02;50.5488211;22.0590851;Kasprzyckiego ZZN 02;100
MOSKALE-01;50.5501349;22.0505422;Mista 01;67
JASTKOWICE - DK-02;50.5402268;22.078808;Wańkowicza 02;62
PRZEMYSŁOWA - SKŁADY BUDOWLANE;50.57771855;22.045077674545716;Przemysłowa składy budowlane 02;95
WAŃKOWICZA - JAGODOWA;50.53839;22.07905;Wańkowicza Jagodowa 03;93
Os.ZASANIE-01;50.56273925;22.093290926267606;Os. Zasanie 01;100
GRABSKIEGO - MISTA;50.5492486;22.055503;Grabskiego Mista 04;91
KEN - SANEPID;50.5711355;22.048857381039845;KEN Sanepid 02;88
KASPRZYCKIEGO - HSW S.A-01;50.5431481;22.0617512;Kasprzyckiego HSW SA 01;94
POLNA - SZKOŁA-01;50.5934788;22.05194964416485;Polna szkoła 01;100
JASTKOWICE - DK-01;50.5406385;22.0791171;Wańkowicza 01;62
PYSZNICA - WOLNOŚCI-02;50.5532508;22.0702719;Solidarności 02;63
PODLEŚNA - BLOKI;50.56967265;22.050238171070557;Podleśna bloki 01;90
NIEZŁOMNYCH - STAROSTWO POWIATOWE;50.567863349999996;22.049135;Niezłomnych Starostwo Powiatowe 04;95
BRANDWICKA - Os.POSANIE-02;50.609708499999996;22.057537066484713;Brandwicka Os. Posanie 09;96
TOŁWIŃSKIEGO-01;50.549105;22.0661735;Tołwińskiego 01;100
MALCE-01;50.5501349;22.0505422;Mista 01;62
OKULICKIEGO - GÓRKA;50.582089249999996;22.052163371178885;Okulickiego Górka 01;91
OGRODOWA - BLOKI;50.6080327;22.035307121071593;Ogrodowa bloki 03;90
TYSIĄCLECIA-01;50.58931475;22.037576346326908;Tysiąclecia 01;100
GRABSKIEGO - ZZN;50.5492516;22.0564672;Grabskiego ZZN 07;90
TOŁWIŃSKIEGO-02;50.5491536;22.0659535;Tołwińskiego 02;100
AGATÓWKA-02;50.58754925;22.0448102;Targowa 02;70
PYSZNICA - WOLNOŚCI-01;50.5543668;22.0692345;Solidarności 01;63
AGATÓWKA -02;50.58754925;22.0448102;Targowa 02;70
SOSNOWA - LEŚNICZÓWKA;50.5341106;22.081625;Sosnowa leśniczówka 06;92
KLASZTORNA - KLASZTOR;50.58420435;22.046960270969045;Klasztorna klasztor 02;93
JAGODOWA-02;50.5375741;22.0806024;Jagodowa 01;91
BRANDWICKA - SLOVRUR-01;50.60805860000001;22.05537717873775;Brandwicka Slovrur 02;95
NISKO - ARMES-01;50.5358254;22.0821169;Tarnowskiego 01;62
OSIEDLE - BLOKI-02;50.56967265;22.050238171070557;Podleśna bloki 01;73
Os.ZASANIE-02;50.56273925;22.093290926267606;Os. Zasanie 01;92
POPIEŁUSZKI - SĄD;50.5678263;22.0611135;Popiełuszki sąd 03;91
NISKO - ARMES-02;50.5361751;22.0819455;Tarnowskiego 02;62
SANDOMIERSKA - MUZEUM-01;50.59528965;22.040643735887816;Sandomierska muzeum 01;100
PYSZNICA - KRĘTA SZKOŁA-01;50.5934788;22.05194964416485;Polna szkoła 01;67
SOSNOWA -  LEŚNICZÓWKA;50.5341106;22.081625;Sosnowa leśniczówka 06;92
OSIEDLE - BLOKI-01;50.56967265;22.050238171070557;Podleśna bloki 01;79
ENERGETYKÓW - SOSNOWA;50.5420277;22.0894892;Energetyków Sopocka 01;77
SOPOCKA - LEGIONÓW-02;50.5420277;22.0894892;Energetyków Sopocka 01;67
POLNA - SZKOŁA-02;50.5934788;22.05194964416485;Polna szkoła 01;93
KWIATKOWSKIEGO - KUL;50.561352049999996;22.059153378708984;Kwiatkowskiego KUL 07;92
KASZTANOWA-02;50.59171825;22.03287840267152;Kasztanowa 02;100
SOPOCKA - LEGIONÓW-01;50.5420277;22.0894892;Energetyków Sopocka 01;72
SOLIDARNOŚCI - PKP;50.5617458;22.060986253598706;Solidarności PKP 03;91
ENERGETYKÓW - MLECZARNIA;50.55676415;22.07059485;Energetyków mleczarnia 02;93
ENERGETYKÓW - LOK;50.558228650000004;22.069890249999997;Energetyków LOK 07;90
TYSIĄCLECIA-02;50.5893486;22.03780013203032;Tysiąclecia 02;100
KASZTANOWA-01;50.59179795;22.0326753;Kasztanowa 01;100
SOCHY - Os.CHARZEWICE;50.607631600000005;22.035782269779695;Sochy Os. Charzewice 06;93
KASPRZYCKIEGO - HSW S.A-02;50.5431481;22.0617512;Kasprzyckiego HSW SA 01;89
BRANDWICA - KOCHANOWSKIEGO-02;50.609708499999996;22.057537066484713;Brandwicka Os. Posanie 09;67
SANDOMIERSKA - MUZEUM-02;50.59528965;22.040643735887816;Sandomierska muzeum 01;95
KWIATKOWSKIEGO - POLITECHNIKA;50.557553;22.0515829;Kwiatkowskiego politechnika 04;95
WSPÓLNA-01;50.60015465;22.0377691;Wspólna 01;100
OGRODOWA-01;50.60261585;22.037040482657073;Ogrodowa 01;100
MIRECKIEGO-02;50.5475995;22.071271;Mireckiego 02;100
SOPOCKA - KOŚCIÓŁ-01;50.5420277;22.0894892;Energetyków Sopocka 01;63
KASPRZYCKIEGO - ZZN-01;50.5488211;22.0590851;Kasprzyckiego ZZN 02;95
WSPÓLNA-02;50.5999394;22.037566549999994;Wspólna 04;89
SANDOMIERSKA - PKP-01;50.5981477;22.033060246212123;Sandomierska PKP 03;95
BRANDWICKA - KARNATY-02;50.60436825;22.053105600000002;Brandwicka Karnaty 05;95
TARNOWSKIEGO-01;50.5358254;22.0821169;Tarnowskiego 01;100
BRANDWICA-SKRZYŻOWANIE-01;50.609708499999996;22.057537066484713;Brandwicka Os. Posanie 09;73
BRANDWICKA - GRUNDWALDZKA;50.59637625;22.044904052584265;Brandwicka Grunwaldzka 01;92
BRANDWICA-02;50.60805860000001;22.05537717873775;Brandwicka Slovrur 02;73
SANDOMIERSKA - MODRZEWIOWA-02;50.6017241;22.0252917;Sandomierska Modrzewiowa 05;96
DZIAŁKOWA OCZYSZCZALNIA-02;50.5806794;22.0716275;Działkowa Oczyszczalnia 01;96
BRANDWICKA - TOPOLOWA;50.5956415;22.0438069;Brandwicka Topolowa 08;93
OGRODOWA-02;50.60261585;22.037040482657073;Ogrodowa 01;91
PYSZNICA - KRĘTA SZKOŁA-02;50.5598954;22.05265500911324;Hutnicza szkoła 03;67
SANDOMIERSKA - MODRZEWIOWA-01;50.6017241;22.0252917;Sandomierska Modrzewiowa 05;96
SOCHY-01;50.62566645;22.04122574888658;Sochy 01;100
OLSZOWIEC - I-02;50.5369812;22.0852052;Sosnowa I 03;62
POPIEŁUSZKI - BANK;50.5678706;22.0628509;Popiełuszki bank 04;91
SOCHY-02;50.62566645;22.04122574888658;Sochy 01;88
GRABSKIEGO - ALUTEC-02;50.5363961;22.0371674;Grabskiego Alutec 10;95
PONIATOWSKIEGO - SZKOŁA-02;50.5819181;22.0617709;Poniatowskiego szkoła 06;96
TARNOWSKIEGO-02;50.5361751;22.0819455;Tarnowskiego 02;100
DZIAŁKOWA OCZYSZCZALNIA-01;50.5806794;22.0716275;Działkowa Oczyszczalnia 01;100
BRANDWICA-01;50.59891115;22.047700348911594;Brandwicka Różana 06;71
WRZOSOWA - DOMKI-01;50.5443578;22.0763122;Wrzosowa domki 04;94
WRZOSOWA - DOMKI-02;50.5443578;22.0763122;Wrzosowa domki 04;94
COP - ZMBPOK;50.5439488;22.0423689;COP ZMBPOK 02;87
SANDOMIERSKA - PKP-02;50.5981477;22.033060246212123;Sandomierska PKP 03;95
GRABSKIEGO - ALUTEC-01;50.5363456;22.037855;Grabskiego Alutec 01;100
OLSZOWIEC - I-01;50.5369812;22.0852052;Sosnowa I 03;62
BRANDWICKA - PODSKARPOWA-02;50.60015385;22.04934862792576;Brandwicka Podskarpowa 03;96
JASTKOWICE - BRANDWICKA-02;50.60805860000001;22.05537717873775;Brandwicka Slovrur 02;71
PRZYSZOWSKA-01;50.5347199;22.0306787;Przyszowska 01;100
DZIAŁKOWA DOM DZIAŁKOWCA-01;50.6010441;22.0228215;Świerkowa Modrzewiowa 01;63
GRABSKIEGO - TRYUMF;50.5507582;22.0645279;Grabskiego Tryumf 09;92
MIRECKIEGO-01;50.5477217;22.0725893;Mireckiego 01;100
COP - POSTERUNEK CELNY-02;50.5534053;22.0389222;COP posterunek celny 01;96
SOLIDARNOŚCI-02;50.5532508;22.0702719;Solidarności 02;100
BRANDWICKA - Os.POSANIE-01;50.609708499999996;22.057537066484713;Brandwicka Os. Posanie 09;96
WSPÓLNA - PKP;50.5981691;22.0342799;Wspólna PKP 02;87
BRANDWICKA - KARNATY-01;50.60436825;22.053105600000002;Brandwicka Karnaty 05;95
PRZYSZOWSKA-02;50.5349441;22.031138;Przyszowska 02;100
SANDOMIERSKA - ZIOŁOWA-01;50.6059528;22.0172836;Sandomierska Ziołowa 07;96
COP - WODOCIĄGI-02;50.5491251;22.0406382;COP Wodociągi 04;94
BRANDWICKA - RÓŻANA;50.59891115;22.047700348911594;Brandwicka Różana 06;91
JASTKOWICE - BRANDWICKA-01;50.609708499999996;22.057537066484713;Brandwicka Os. Posanie 09;71
1-go SIERPNIA-SZKOŁA IM.T.KOŚCIUSZKI-02;50.57248215;22.051343565632735;1 Sierpnia szkoła im. T. Kościuszki 01;93
BRANDWICA - KOCHANOWSKIEGO-01;50.57228739999999;22.067692097029834;Poniatowskiego bank 01;69
ŚWIERKOWA - BRZOZOWA-01;50.602469299999996;22.015313400000014;Świerkowa Brzozowa 04;95
COP - POSTERUNEK CELNY-01;50.5534053;22.0389222;COP posterunek celny 01;100
ZALESZANY-01;50.59179795;22.0326753;Kasztanowa 01;64
PONIATOWSKIEGO - SZKOŁA-01;50.5819181;22.0617709;Poniatowskiego szkoła 06;96
MISTA-02;50.5501349;22.0505422;Mista 01;88
DZIAŁKOWA DOM DZIAŁKOWCA-02;50.60583475;22.017327996710527;Sandomierska Ziołowa 02;64
ZALESZANY - KOŚCIÓŁ-01;50.56273925;22.093290926267606;Os. Zasanie 01;62
SOCHY - DZIAŁKI-02;50.6156197;22.0404911;Sochy działki 04;94
TARGOWA-02;50.58754925;22.0448102;Targowa 02;100
KWIATKOWSKIEGO - AMBULATORIUM;50.5559342;22.04395;Kwiatkowskiego ambulatorium 09;95
GRABSKIEGO - ZKM-01;50.5405034;22.041815;Grabskiego ZKM 03;94
SANDOMIERSKA - ZIOŁOWA-02;50.60583475;22.017327996710527;Sandomierska Ziołowa 02;100
SOCHY - DZIAŁKI-01;50.6156197;22.0404911;Sochy działki 04;94
PYSZNICA - NOWA-01;50.5806794;22.0716275;Działkowa Oczyszczalnia 01;62
DZIAŁKOWA OCZKO-02;50.5723419;22.0762749;DZIAŁKOWA - OCZKO;91
NIEZŁOMNYCH - SKRZYŻOWANIE;50.5705005;22.047858023252914;Niezłomnych skrzyżowanie 03;94
GRABSKIEGO - IKEA;50.5432226;22.0496531;Grabskiego Ikea 05;91
ŚWIERKOWA - BRZOZOWA-02;50.602469299999996;22.015313400000014;Świerkowa Brzozowa 04;95
TARGOWA-01;50.58787955;22.04505032555597;Targowa 01;100
ŚWIERKOWA - MODRZEWIOWA-01;50.6010441;22.0228215;Świerkowa Modrzewiowa 01;100
DZIAŁKOWA OCZKO-01;50.5723419;22.0762749;DZIAŁKOWA - OCZKO;91
MISTA-01;50.5501349;22.0505422;Mista 01;100
JODŁOWA-01;50.59538105;22.029046649999998;Jodłowa 01;100
ŚWIERKOWA - MODRZEWIOWA-02;50.60085705;22.023758583198912;Świerkowa Modrzewiowa 02;100
ZBYDNIÓW - STACJA PALIW-02;50.56146975;22.06813277712569;Staszica stacja paliw 01;72
SPACEROWA-02;50.5572802;22.0759385;Spacerowa 02;100
COP - WODOCIĄGI-01;50.5491251;22.0406382;COP Wodociągi 04;94
NOWA WIEŚ-01;50.5399455;22.0885133;Sosnowa 01;64
CERKAMED-02;50.5513149;22.0479727;Cerkamed 03;91
