StopName;Boarded;Alighted;TotalFlow
SANDOMIERSKA - MUZEUM-01;594;57;651
PYSZNICA - KRĘTA SZKOŁA-01;621;28;649
SOSNOWA -  LEŚNICZÓWKA;1;646;647
OSIEDLE - BLOKI-01;388;252;640
ZIARNY-01;504;135;639
ENERGETYKÓW - SOSNOWA;121;509;630
SOPOCKA - LEGIONÓW-02;191;432;623
POLNA - SZKOŁA-02;3;608;611
KWIATKOWSKIEGO - KUL;393;208;601
KASZTANOWA-02;11;573;584
SOPOCKA - LEGIONÓW-01;370;204;574
SOLIDARNOŚCI - PKP;187;384;571
ENERGETYKÓW - MLECZARNIA;263;307;570
ENERGETYKÓW - LOK;270;295;565
TYSIĄCLECIA-02;11;550;561
JASTKOWICE - ARMII KRAJOWEJ-01;539;7;546
KASZTANOWA-01;516;20;536
SOCHY - Os.CHARZEWICE;17;513;530
KASPRZYCKIEGO - HSW S.A-02;504;1;505
BRANDWICA - KOCHANOWSKIEGO-02;30;473;503
SOPOCKA - KOŚCIÓŁ-02;159;343;502
KŁYŻÓW - I-01;499;1;500
SANDOMIERSKA - MUZEUM-02;53;439;492
KWIATKOWSKIEGO - POLITECHNIKA;106;378;484
BOREK-02;27;446;473
BOREK-01;413;40;453
WSPÓLNA-01;443;4;447
OGRODOWA-01;421;17;438
MIRECKIEGO-02;35;394;429
KŁYŻÓW - I-02;9;407;416
SOPOCKA - KOŚCIÓŁ-01;268;128;396
KASPRZYCKIEGO - ZZN-01;22;368;390
WSPÓLNA-02;38;350;388
JASTKOWICE - ARMII KRAJOWEJ-02;7;379;386
SANDOMIERSKA - PKP-01;367;19;386
BRANDWICKA - KARNATY-02;5;378;383
TARNOWSKIEGO-01;366;15;381
TURBIA - SZKOŁA-01;369;8;377
SOPOCKA - KOMIS;85;286;371
BRANDWICA-SKRZYŻOWANIE-01;364;4;368
BRANDWICKA - GRUNDWALDZKA;39;299;338
TURBIA - SZKOŁA-02;45;290;335
BRANDWICA-02;25;291;316
SANDOMIERSKA - MODRZEWIOWA-02;4;300;304
DZIAŁKOWA OCZYSZCZALNIA-02;0;303;303
BRANDWICKA - TOPOLOWA;239;64;303
OGRODOWA-02;22;270;292
PYSZNICA - KRĘTA SZKOŁA-02;66;225;291
SANDOMIERSKA - MODRZEWIOWA-01;281;7;288
SOCHY-01;279;8;287
OLSZOWIEC - I-02;9;277;286
POPIEŁUSZKI - BANK;125;161;286
SOCHY-02;4;274;278
GRABSKIEGO - ALUTEC-02;8;267;275
PONIATOWSKIEGO - SZKOŁA-02;81;191;272
OLSZOWIEC - II-01;257;10;267
TARNOWSKIEGO-02;16;242;258
DZIAŁKOWA OCZYSZCZALNIA-01;253;3;256
KŁYŻÓW-01;254;0;254
BRANDWICA-01;237;9;246
WRZOSOWA - DOMKI-01;240;5;245
ZALESZANY - KOŚCIÓŁ-02;0;242;242
WRZOSOWA - DOMKI-02;6;235;241
