name;geometry;Latitude;Longitude
COP Wodociągi 03;POINT (22.040557 50.5487836);50.5487836;22.040557
Kwiatkowskiego SP ZOZ 01;POINT (22.0442773 50.556623);50.556623;22.0442773
Kwiatkowskiego SP ZOZ 08;POINT (22.0446799 50.5563672);50.5563672;22.0446799
Kwiatkowskiego ambulatorium 09;POINT (22.04395 50.5559342);50.5559342;22.04395
Jagodowa 01;POINT (22.0806024 50.5375741);50.5375741;22.0806024
Wrzosowa przedszkole 03;POINT (22.0776278 50.5387404);50.5387404;22.0776278
Wrzosowa przedszkole 02;POINT (22.07742 50.5392224);50.5392224;22.07742
Wańkowicza 01;POINT (22.0791171 50.5406385);50.5406385;22.0791171
Wańkowicza 02;POINT (22.078808 50.5402268);50.5402268;22.078808
Odlewnia 02;POINT (22.044285 50.5517897);50.5517897;22.044285
Odlewnia 05;POINT (22.0428942 50.5516105);50.5516105;22.0428942
Kwiatkowskiego politechnika 04;POINT (22.0515829 50.557553);50.557553;22.0515829
Kwiatkowskiego Strefa 05;POINT (22.052049 50.557458);50.557458;22.052049
peron 3;POLYGON ((22.042889 50.5902543, 22.0428092 50.5902327, 22.0427052 50.5903957, 22.0425922 50.5905473, 22.042479 50.5906775, 22.0423825 50.5907746, 22.0422686 50.5908804, 22.0421412 50.5909867, 22.0419947 50.591097, 22.0417972 50.5912311, 22.0411298 50.5916581, 22.0411598 50.5916767, 22.0411894 50.5916952, 22.041855 50.5912725, 22.0419705 50.5911957, 22.0420765 50.5911219, 22.0422218 50.5910119, 22.0423661 50.5908906, 22.0424601 50.590807, 22.0425657 50.5906955, 22.0426772 50.5905657, 22.0427806 50.5904286, 22.042889 50.5902543));50.59093865;22.042253863397143
peron 2;POLYGON ((22.0433936 50.5894678, 22.0432204 50.5899956, 22.0431936 50.5900675, 22.0431663 50.5901317, 22.0431348 50.5902015, 22.0431015 50.5902655, 22.0430741 50.5903171, 22.0430308 50.5903896, 22.0429826 50.59046, 22.042933 50.5905302, 22.0428776 50.5906003, 22.0428579 50.5906233, 22.0428343 50.5906513, 22.0427911 50.5907024, 22.042709 50.5907941, 22.0426496 50.5908561, 22.0425899 50.5909136, 22.0425048 50.5909868, 22.0424254 50.5910502, 22.0423251 50.5911261, 22.0422062 50.5912133, 22.0419971 50.5913551, 22.0413223 50.5917821, 22.0412953 50.5917649, 22.0412672 50.591747, 22.0414213 50.5916465, 22.0417157 50.5914585, 22.041938 50.5913164, 22.0420165 50.5912633, 22.0421029 50.5912063, 22.0422148 50.5911269, 22.0422886 50.5910714, 22.0423518 50.591021, 22.0424128 50.59097, 22.0424729 50.590917, 22.0425575 50.5908389, 22.0426249 50.5907707, 22.0426641 50.590729, 22.0426977 50.5906913, 22.0427487 50.5906336, 22.0427999 50.5905705, 22.0428356 50.5905236, 22.0428943 50.5904447, 22.0429453 50.5903662, 22.0429863 50.5902974, 22.0430304 50.5902177, 22.0430631 50.5901547, 22.043095 50.5900828, 22.0431203 50.5900228, 22.043144 50.5899604, 22.0431809 50.5898567, 22.0432127 50.5897634, 22.0433139 50.5894557, 22.0433936 50.5894678));50.5906118;22.04281706937401
peron 1;POLYGON ((22.0429771 50.5906344, 22.0430474 50.5906568, 22.0430219 50.5906889, 22.0428849 50.5908449, 22.0427903 50.5909417, 22.0427086 50.5910157, 22.042594 50.5911112, 22.0424538 50.5912191, 22.0423102 50.5913006, 22.0419068 50.5915707, 22.0418871 50.5915649, 22.0412084 50.5920123, 22.0411622 50.5919854, 22.0411791 50.5919756, 22.041464 50.5917959, 22.0417549 50.5916068, 22.0420489 50.5914184, 22.0420734 50.5914027, 22.0421866 50.5913298, 22.0423229 50.5912366, 22.042408 50.591175, 22.042509 50.5910973, 22.0425862 50.5910324, 22.042658 50.5909684, 22.042742 50.5908907, 22.0428237 50.5908094, 22.0428977 50.5907264, 22.0429771 50.5906344));50.5913152;22.042248173155667
peron 1;POLYGON ((22.0602139 50.5633126, 22.0612146 50.5620054, 22.061407 50.5617541, 22.0613132 50.5617251, 22.0604013 50.5629161, 22.06012 50.5632836, 22.0602139 50.5633126));50.56246075;22.060807979537238
peron 2;POLYGON ((22.0615065 50.5617923, 22.0615739 50.561813, 22.0612886 50.562187, 22.0603768 50.5633825, 22.0603604 50.5633775, 22.0603094 50.5633618, 22.061202 50.5621916, 22.0613579 50.5619873, 22.0615065 50.5617923));50.5627767;22.060797269841075
;POLYGON ((22.0790081 50.5447414, 22.0783253 50.5455251, 22.0783985 50.5455508, 22.0790811 50.5447671, 22.079044 50.5447541, 22.0790081 50.5447414));50.5451461;22.078703248360345
;POLYGON ((22.0555085 50.5697114, 22.0554965 50.5697079, 22.0555448 50.5696384, 22.0554739 50.5696171, 22.0554229 50.569686, 22.05541 50.5696824, 22.0538961 50.571715, 22.0539949 50.5717446, 22.0555085 50.5697114));50.5707132;22.054702484003087
Okulickiego hala targowa 02;POLYGON ((22.0575688 50.5698734, 22.05774 50.5696296, 22.0577485 50.569632, 22.0577511 50.5696618, 22.0576157 50.5698543, 22.0575768 50.5698756, 22.0575688 50.5698734));50.569758050000004;22.0576666002461
KEN parking 04;POLYGON ((22.058729 50.5749355, 22.05897 50.5750042, 22.0589869 50.5749803, 22.0587459 50.5749116, 22.058729 50.5749355));50.5749579;22.05885795
Al. Jana Pawła II Os. Centralne I 06;POLYGON ((22.0640184 50.5716423, 22.0642025 50.5712956, 22.0641577 50.571286, 22.064144 50.5713118, 22.0641091 50.5713776, 22.0640453 50.5714976, 22.0640328 50.5715212, 22.0639736 50.5716327, 22.0640184 50.5716423));50.571437599999996;22.06410214852899
Al. Jana Pawła II stacja paliw 01;POLYGON ((22.0634646 50.5734987, 22.0636402 50.5731699, 22.0636899 50.5731802, 22.0635135 50.5735093, 22.0634646 50.5734987));50.573339450000006;22.063577095206426
Popiełuszki apteka 06;POLYGON ((22.0673035 50.5685458, 22.0671388 50.5685231, 22.0671566 50.568471, 22.0673214 50.5684937, 22.0673035 50.5685458));50.5685084;22.067230085892515
Czarnieckiego Os. Flisaków 03;POLYGON ((22.0733712 50.5683077, 22.0731532 50.5683568, 22.0731633 50.5683748, 22.0733812 50.5683257, 22.0733712 50.5683077));50.56834125;22.073267215835017
Czarnieckiego Os. Lasowiaków 02;POLYGON ((22.0731839 50.568203, 22.0734371 50.5681338, 22.073424 50.5681144, 22.0733569 50.568117, 22.0732349 50.568151, 22.0731785 50.5681894, 22.0731839 50.568203));50.5681702;22.073255306936417
Żwirki i Wigury Andersa 02;POLYGON ((22.071726 50.5658004, 22.0717976 50.565828, 22.0718188 50.5658059, 22.0717472 50.5657783, 22.071726 50.5658004));50.56580315;22.0717724
Żwirki i Wigury hotel Hutnik 01;POLYGON ((22.071152 50.5657578, 22.0712234 50.5657857, 22.0712799 50.5657275, 22.0712086 50.5656996, 22.071152 50.5657578));50.565742650000004;22.07121596301546
Rozwadów Rynek 02;POLYGON ((22.0472206 50.5916573, 22.047241 50.591656, 22.0472632 50.5916546, 22.0473031 50.5916521, 22.047331 50.5918317, 22.047293 50.5918342, 22.0472717 50.5918355, 22.0472497 50.5918369, 22.0472236 50.5916757, 22.0472206 50.5916573));50.5917537;22.047277556052876
Rozwadów Rynek 01;POLYGON ((22.0470529 50.5927098, 22.0470623 50.5927159, 22.0470902 50.5927314, 22.0471244 50.5927144, 22.0471579 50.5926927, 22.0471373 50.59268, 22.0472036 50.5926296, 22.0471947 50.5926242, 22.0471853 50.5926204, 22.0471391 50.5926571, 22.0470529 50.5927098));50.59266855;22.04713636686969
Al. Jana Pawła II Os. Młodynie 02;POLYGON ((22.0540181 50.5818628, 22.054272 50.5816538, 22.0542316 50.5816341, 22.0539778 50.581843, 22.0540181 50.5818628));50.581748399999995;22.054124904864334
Al. Jana Pawła II Górka 07;POLYGON ((22.0525464 50.583516, 22.052754 50.5833436, 22.0527867 50.5833595, 22.0527412 50.5833974, 22.0527568 50.583405, 22.052701 50.5834513, 22.0526875 50.5834448, 22.0525813 50.583533, 22.052552 50.5835187, 22.0525464 50.583516));50.5834249;22.05269445865535
Al. Jana Pawła II straż 04;POLYGON ((22.058498 50.5781845, 22.0587092 50.578006, 22.0586707 50.5779876, 22.0585997 50.5780476, 22.0585835 50.5780398, 22.0585497 50.5780237, 22.0584652 50.5780951, 22.0584965 50.5781101, 22.0585065 50.5781148, 22.0584507 50.578162, 22.058498 50.5781845));50.57807135;22.05856259290616
Staszica Wzorcowy 02;POLYGON ((22.0657837 50.5674785, 22.0658463 50.5673114, 22.0657909 50.567303, 22.0657321 50.5674602, 22.0657283 50.5674702, 22.0657837 50.5674785));50.5673858;22.065789178417646
Energetyków mleczarnia 02;POLYGON ((22.0705636 50.5568515, 22.0706796 50.5566926, 22.0706261 50.5566768, 22.0705101 50.5568357, 22.0705636 50.5568515));50.55676415;22.07059485
Al. Jana Pawła II cmentarz 08;POLYGON ((22.0502375 50.5852356, 22.0503498 50.5851389, 22.0503211 50.5851254, 22.0502794 50.5851613, 22.0502684 50.5851708, 22.0502598 50.5851782, 22.0502088 50.5852221, 22.0502375 50.5852356));50.585200150000006;22.050256484462246
Energetyków LOK 07;POLYGON ((22.0699224 50.5581403, 22.0699764 50.5581563, 22.0698581 50.558317, 22.0698041 50.558301, 22.0699224 50.5581403));50.558228650000004;22.069890249999997
Staszica stacja paliw 01;POLYGON ((22.068083 50.5615562, 22.0681406 50.5613833, 22.0681862 50.5613671, 22.0681178 50.5615835, 22.068083 50.5615562));50.56146975;22.06813277712569
Al. Jana Pawła II Poręby 03;POLYGON ((22.059025 50.5781611, 22.0587568 50.5783987, 22.0589325 50.5783263, 22.0589821 50.5782906, 22.059025 50.5781611));50.57822585;22.058977730492423
Al. Jana Pawła II Poręby I 05;POLYGON ((22.0547531 50.5816914, 22.0549174 50.581554, 22.0548959 50.5816417, 22.0548356 50.5816894, 22.0547806 50.5817047, 22.0547531 50.5816914));50.581597849999994;22.05488580755095
Przemysłowa Boczna 02;POLYGON ((22.0415727 50.5794386, 22.0417699 50.579389, 22.0417634 50.5793786, 22.0417511 50.5793589, 22.041554 50.5794086, 22.0415682 50.5794314, 22.0415727 50.5794386));50.5793988;22.041661900942756
Przemysłowa Boczna 01;POLYGON ((22.0441549 50.5786781, 22.0443581 50.5786276, 22.044348 50.5786112, 22.0441448 50.5786616, 22.0441549 50.5786781));50.5786446;22.04425151786107
Sikorskiego 02;POLYGON ((22.0396671 50.5871188, 22.0396144 50.5869875, 22.0396451 50.5869826, 22.0396979 50.5871138, 22.0396671 50.5871188));50.587050649999995;22.03965611627417
Sikorskiego 01;POLYGON ((22.039577 50.5871186, 22.0396272 50.58725, 22.0396147 50.5872519, 22.0396032 50.5872537, 22.039553 50.5871223, 22.0395634 50.5871207, 22.039577 50.5871186));50.587186149999994;22.039590099999998
Kusocińskiego 02;POLYGON ((22.0333563 50.5943632, 22.0331945 50.5944543, 22.033213 50.5944676, 22.0333748 50.5943765, 22.0333563 50.5943632));50.5944154;22.03328465
Kusocińskiego 01;POLYGON ((22.0338421 50.5940747, 22.0339791 50.5940239, 22.033964 50.5940074, 22.033827 50.5940582, 22.0338421 50.5940747));50.59404105;22.03390305
Świerkowa Modrzewiowa 02;POLYGON ((22.0236535 50.6008758, 22.0238508 50.60082, 22.0238637 50.6008383, 22.0236663 50.6008941, 22.0236535 50.6008758));50.60085705;22.023758583198912
Świerkowa Modrzewiowa 01;POLYGON ((22.0227306 50.6010806, 22.0229249 50.6010253, 22.0229124 50.6010076, 22.0227181 50.6010629, 22.0227306 50.6010806));50.6010441;22.0228215
Świerkowa Brzozowa 04;POLYGON ((22.0152066 50.6024878, 22.0154095 50.6024345, 22.0154202 50.6024508, 22.0152173 50.6025041, 22.0152066 50.6024878));50.602469299999996;22.015313400000014
Świerkowa Brzozowa 03;POLYGON ((22.0146246 50.602587, 22.0144295 50.6026427, 22.0144177 50.602626, 22.0146128 50.6025703, 22.0146246 50.602587));50.6026065;22.014521149999993
Polna szkoła 01;POLYGON ((22.0518958 50.5934762, 22.0520349 50.5935099, 22.0520443 50.5934943, 22.0519912 50.5934814, 22.0520003 50.5934662, 22.0519143 50.5934454, 22.0518958 50.5934762));50.5934788;22.05194964416485
Brandwicka Grunwaldzka 01;POLYGON ((22.0449543 50.596439, 22.0448245 50.5963273, 22.0448538 50.5963136, 22.0449837 50.5964252, 22.0449543 50.596439));50.59637625;22.044904052584265
Brandwicka Topolowa 08;POLYGON ((22.0439143 50.5957019, 22.0437439 50.5955597, 22.0436995 50.5955811, 22.0438699 50.5957233, 22.0439143 50.5957019));50.5956415;22.0438069
Brandwicka Podskarpowa 03;POLYGON ((22.0493967 50.6002178, 22.0492704 50.6001033, 22.0492903 50.6000945, 22.0493005 50.6000899, 22.0494269 50.6002044, 22.0493967 50.6002178));50.60015385;22.04934862792576
Brandwicka Karnaty 05;POLYGON ((22.0531496 50.6044589, 22.0530392 50.6042833, 22.0530616 50.6042776, 22.053172 50.6044532, 22.0531496 50.6044589));50.60436825;22.053105600000002
Brandwicka Karnaty 04;POLYGON ((22.0524717 50.6037079, 22.0524029 50.6036016, 22.0523982 50.603604, 22.0524113 50.6036506, 22.0525986 50.6039273, 22.0526517 50.6039158, 22.0526281 50.6038857, 22.0524717 50.6037079));50.6037968;22.052530081857604
Brandwicka Slovrur 02;POLYGON ((22.055524 50.6082015, 22.0554537 50.6081355, 22.0553226 50.6079817, 22.0552794 50.6078771, 22.0552589 50.6078522, 22.0552219 50.6078661, 22.0552317 50.6078979, 22.0554366 50.6081427, 22.055524 50.6082015));50.60805860000001;22.05537717873775
Brandwicka Os. Posanie 09;POLYGON ((22.0575542 50.6096778, 22.0575825 50.6097236, 22.05752 50.6097392, 22.0574916 50.6096934, 22.0575542 50.6096778));50.609708499999996;22.057537066484713
Brandwicka Różana 06;POLYGON ((22.0475873 50.5987974, 22.047837 50.599014, 22.0478134 50.599025, 22.0475638 50.5988083, 22.0475873 50.5987974));50.59891115;22.047700348911594
Sandomierska muzeum 01;POLYGON ((22.0407562 50.5952137, 22.0407267 50.5952637, 22.0406328 50.5953156, 22.0405349 50.5953269, 22.0407562 50.5952137));50.59528965;22.040643735887816
Sandomierska muzeum 08;POLYGON ((22.0414018 50.5946915, 22.0411947 50.5948076, 22.0412212 50.5947503, 22.0413146 50.5946986, 22.0414018 50.5946915));50.59472445;22.04130546177864
Sandomierska PKP 03;POLYGON ((22.0328714 50.5982075, 22.0329577 50.5982083, 22.033052 50.5981737, 22.0331115 50.5981217, 22.0328714 50.5982075));50.5981477;22.033060246212123
Sandomierska PKP 06;POLYGON ((22.0345329 50.5974921, 22.0347769 50.597403, 22.0347605 50.5973848, 22.0345164 50.5974739, 22.0345329 50.5974921));50.59743845;22.034646669893377
Sandomierska Modrzewiowa 04;POLYGON ((22.0261045 50.6012237, 22.0260313 50.601261, 22.0259915 50.6012295, 22.0260647 50.6011922, 22.0261045 50.6012237));50.601226600000004;22.026047999999992
Sandomierska Ziołowa 02;POLYGON ((22.0173141 50.605859, 22.0174188 50.605802, 22.0173504 50.6057731, 22.0172806 50.6058105, 22.0173141 50.605859));50.60583475;22.017327996710527
Ogrodowa 01;POLYGON ((22.036991 50.6026726, 22.0370756 50.6025549, 22.03709 50.6025591, 22.0370054 50.6026767, 22.036991 50.6026726));50.60261585;22.037040482657073
Ogrodowa 04;POLYGON ((22.0372281 50.6021857, 22.0372653 50.6021327, 22.0372493 50.6021282, 22.0372121 50.6021812, 22.0372281 50.6021857));50.602156949999994;22.037238700000003
Wspólna 04;POLYGON ((22.0374765 50.599902, 22.0376389 50.5999899, 22.0376566 50.5999768, 22.0374942 50.5998889, 22.0374765 50.599902));50.5999394;22.037566549999994
Wspólna 01;POLYGON ((22.0377188 50.6001152, 22.037837 50.6001815, 22.0378194 50.6001941, 22.0377012 50.6001278, 22.0377188 50.6001152));50.60015465;22.0377691
Sochy Os. Charzewice 06;POLYGON ((22.0356756 50.6076402, 22.0358894 50.6076375, 22.035889 50.6076231, 22.0356751 50.6076257, 22.0356756 50.6076402));50.607631600000005;22.035782269779695
Ogrodowa bloki 03;POLYGON ((22.0352872 50.6080875, 22.0353063 50.6079764, 22.0353271 50.6079779, 22.0353079 50.6080889, 22.0352872 50.6080875));50.6080327;22.035307121071593
Sochy działki 03;POLYGON ((22.040491 50.6147866, 22.0404869 50.614756, 22.0404325 50.6147589, 22.0404366 50.6147895, 22.040491 50.6147866));50.61477275;22.04046175
Sochy 01;POLYGON ((22.041271 50.6256777, 22.0412255 50.6256357, 22.0411805 50.6256552, 22.0412261 50.6256973, 22.041271 50.6256777));50.62566645;22.04122574888658
Ogrodowa wiadukt 02;POLYGON ((22.0352337 50.6073484, 22.0352633 50.6071302, 22.035242 50.607129, 22.0352309 50.6072103, 22.0352091 50.6072091, 22.0352018 50.6072631, 22.0352191 50.607264, 22.0352078 50.607347, 22.0352337 50.6073484));50.6072367;22.035227110796413
Tysiąclecia 02;POLYGON ((22.0376944 50.5893583, 22.0378973 50.5893202, 22.0379019 50.5893301, 22.037906 50.5893389, 22.0377031 50.5893769, 22.0376992 50.5893687, 22.0376944 50.5893583));50.5893486;22.03780013203032
Tysiąclecia 01;POLYGON ((22.0376928 50.5893034, 22.0374866 50.5893414, 22.037484 50.5893356, 22.0374814 50.58933, 22.0375248 50.589322, 22.0375118 50.5892936, 22.0375791 50.5892812, 22.0375911 50.5893075, 22.0376866 50.5892899, 22.0376894 50.589296, 22.0376928 50.5893034));50.58931475;22.037576346326908
Kasztanowa 01;POLYGON ((22.0326366 50.5918615, 22.0327412 50.5917442, 22.032714 50.5917344, 22.0326094 50.5918517, 22.0326366 50.5918615));50.59179795;22.0326753
Kasztanowa 02;POLYGON ((22.0328131 50.5917726, 22.0329175 50.5916545, 22.0329437 50.5916639, 22.0328394 50.5917819, 22.0328131 50.5917726));50.59171825;22.03287840267152
Targowa 01;POLYGON ((22.0450657 50.5879485, 22.0450149 50.5878136, 22.0450253 50.587812, 22.0450349 50.5878106, 22.0450858 50.5879455, 22.0450755 50.587947, 22.0450657 50.5879485));50.58787955;22.04505032555597
Targowa 02;POLYGON ((22.0448449 50.5876133, 22.0447945 50.5874823, 22.0447844 50.5874838, 22.0447755 50.5874852, 22.0448259 50.5876162, 22.0448343 50.5876149, 22.0448449 50.5876133));50.58754925;22.0448102
Klasztorna klasztor 02;POLYGON ((22.0469525 50.5843386, 22.0469941 50.5840717, 22.0469681 50.58407, 22.0469264 50.584337, 22.046941 50.5843379, 22.0469525 50.5843386));50.58420435;22.046960270969045
Przemysłowa składy budowlane 02;POLYGON ((22.0451389 50.5777825, 22.0450636 50.5776336, 22.0450412 50.5776382, 22.045067 50.5776893, 22.0450371 50.5776954, 22.0450627 50.5777461, 22.0450846 50.5777417, 22.0451084 50.5777887, 22.0451246 50.5777854, 22.0451389 50.5777825));50.57771855;22.045077674545716
KEN stacja paliw 05;POLYGON ((22.045982 50.570842, 22.0462862 50.5708977, 22.0462743 50.570924, 22.0461804 50.5709068, 22.046175 50.5709187, 22.0460718 50.5708998, 22.0460781 50.5708858, 22.045971 50.5708662, 22.045982 50.570842));50.570876;22.046096118806098
Ofiar Katynia cmentarz 02;POLYGON ((22.0392903 50.5681534, 22.0395776 50.5680669, 22.0395615 50.5680454, 22.0392742 50.5681319, 22.0392903 50.5681534));50.568099399999994;22.03942590000002
Ofiar Katynia Jubilat 04;POLYGON ((22.0469224 50.5658637, 22.0466416 50.5659474, 22.0466265 50.5659268, 22.0469073 50.5658432, 22.0469224 50.5658637));50.56589525;22.046774513304534
Orzeszkowej Jubilat 02;POLYGON ((22.0485469 50.564791, 22.0486207 50.5648702, 22.0486622 50.5649034, 22.0487628 50.5649767, 22.0486864 50.564998, 22.0485724 50.5648472, 22.0485348 50.5647927, 22.0485469 50.564791));50.5648868;22.04862189316976
Orzeszkowej Os. Metalowców 01;POLYGON ((22.0477162 50.5634105, 22.0478451 50.5635806, 22.0478951 50.5635654, 22.0477663 50.5633952, 22.0477162 50.5634105));50.56348795;22.047805689994362
Ofiar Katynia Fabryczne 03;POLYGON ((22.0455956 50.5663798, 22.0457228 50.5663437, 22.045745 50.5663753, 22.0456179 50.5664114, 22.0455956 50.5663798));50.56637755;22.045670303116342
Ofiar Katynia supermarket 05;POLYGON ((22.0411177 50.5677314, 22.0407969 50.5678256, 22.0408063 50.5678386, 22.0408109 50.5678449, 22.0409045 50.5678175, 22.0409149 50.5678317, 22.0410056 50.567805, 22.0409956 50.5677913, 22.0411321 50.5677512, 22.0411252 50.5677417, 22.0411177 50.5677314));50.56777125;22.041022920010615
