name;geometry;Latitude;Longitude
Niezłomnych supermarket 02;POLYGON ((22.0469839 50.5718648, 22.0471562 50.5716737, 22.0472034 50.5716909, 22.0471864 50.5717098, 22.0472185 50.5717215, 22.0471766 50.5717679, 22.047141 50.571755, 22.0470276 50.5718807, 22.0470018 50.5718713, 22.0469839 50.5718648));50.57181635;22.04705661840847
Niezłomnych salon samochodowy 01;POLYGON ((22.0466145 50.5720082, 22.0465335 50.5720775, 22.0464819 50.5721384, 22.0464484 50.5721563, 22.0464309 50.5721614, 22.0464081 50.5721623, 22.046462 50.5720986, 22.0464018 50.5720792, 22.0464425 50.5720325, 22.0464667 50.5720382, 22.0465284 50.572032, 22.0465664 50.5719907, 22.0466145 50.5720082));50.57205785;22.04648843724589
Niezłomnych skrzyżowanie 03;POLYGON ((22.047816 50.5705648, 22.0479234 50.5704446, 22.0479001 50.5704362, 22.0477926 50.5705564, 22.047816 50.5705648));50.5705005;22.047858023252914
Przemysłowa stacja paliw 01;POLYGON ((22.0447645 50.5768132, 22.0446685 50.5766625, 22.044715 50.5766506, 22.044731 50.5766756, 22.0447566 50.576669, 22.0447878 50.576718, 22.0447591 50.5767254, 22.0448079 50.576802, 22.0447645 50.5768132));50.5767637;22.044758233576644
Klasztorna cmentarz 01;POLYGON ((22.0469359 50.58515, 22.0469731 50.5848816, 22.0470269 50.5848846, 22.0470127 50.5849868, 22.0470408 50.5849884, 22.0470331 50.5850444, 22.0470025 50.5850427, 22.0469872 50.5851529, 22.0469359 50.58515));50.58501555;22.04699580076239
Kwiatkowskiego KUL 07;POLYGON ((22.0590634 50.5613085, 22.0591866 50.5614208, 22.0592434 50.5613956, 22.0591202 50.5612834, 22.0590634 50.5613085));50.561352049999996;22.059153378708984
Hutnicza przychodnia 02;POLYGON ((22.0556528 50.5636239, 22.0557758 50.563788, 22.0557912 50.5637834, 22.0557823 50.5637715, 22.0558236 50.563759, 22.0557816 50.563703, 22.0557499 50.5637126, 22.0556778 50.5636164, 22.0556528 50.5636239));50.56366345;22.055697753734933
Podleśna dom dziecka 02;POLYGON ((22.0503159 50.5698021, 22.0504905 50.5698566, 22.050446 50.569914, 22.0503008 50.5698687, 22.050318 50.5698466, 22.0503005 50.5698219, 22.0503159 50.5698021));50.569862650000005;22.05039565913313
Podleśna bloki 01;POLYGON ((22.0501735 50.5696825, 22.050267 50.5697128, 22.0502838 50.5696928, 22.0503231 50.5696811, 22.0501747 50.569635, 22.0501864 50.5696642, 22.0501735 50.5696825));50.56967265;22.050238171070557
KEN Sanepid 02;POLYGON ((22.0490454 50.5711977, 22.048682 50.5711174, 22.0486982 50.5710879, 22.0488499 50.5711214, 22.0488593 50.5711043, 22.0489562 50.5711257, 22.0489455 50.5711453, 22.0490602 50.5711707, 22.0490454 50.5711977));50.5711355;22.048857381039845
Popiełuszki Dmowskiego 05;POLYGON ((22.0529104 50.5656956, 22.0532309 50.5657953, 22.0531491 50.5658072, 22.0529721 50.5657544, 22.0529104 50.5656956));50.565725;22.0529730802658
Popiełuszki MOPS 02;POLYGON ((22.0543239 50.5660082, 22.0545962 50.5660926, 22.0545492 50.5660406, 22.0544218 50.5660023, 22.0543239 50.5660082));50.5660666;22.054542508056873
Ofiar Katynia przychodnia 01;POLYGON ((22.0549423 50.5635613, 22.0547515 50.5636204, 22.0547644 50.5636371, 22.0549552 50.563578, 22.0549423 50.5635613));50.5635992;22.054853350000002
Hutnicza apteka 01;POLYGON ((22.0549449 50.562946, 22.0550584 50.563102, 22.0549915 50.5631216, 22.0549321 50.56304, 22.0549047 50.563048, 22.0548736 50.5630051, 22.0548976 50.5629981, 22.0548747 50.5629666, 22.0549449 50.562946));50.56302255;22.054943422632576
Hutnicza szkoła 03;POLYGON ((22.0526371 50.5598245, 22.052737 50.5599629, 22.0527079 50.5599714, 22.0526645 50.5599111, 22.0526385 50.5599186, 22.0526104 50.5598797, 22.052632 50.5598734, 22.0526037 50.5598342, 22.0526371 50.5598245));50.5598954;22.05265500911324
Ofiar Katynia poczta 06;POLYGON ((22.0557828 50.5631823, 22.0559947 50.5631181, 22.0559829 50.5631024, 22.0558935 50.5631295, 22.055878 50.5631089, 22.0557665 50.5631427, 22.0557812 50.5631623, 22.0557702 50.5631656, 22.0557828 50.5631823));50.5631361;22.05586178048719
Kwiatkowskiego Urząd Skarbowy 02;POLYGON ((22.0584021 50.5611048, 22.0586141 50.5612172, 22.0587253 50.5612666, 22.0586891 50.5612999, 22.0586382 50.5612769, 22.0586549 50.5612612, 22.0585939 50.5612352, 22.0583847 50.561121, 22.0584021 50.5611048));50.5611691;22.058498095357464
Solidarności PKP 03;POLYGON ((22.0608314 50.5618052, 22.0611552 50.5617164, 22.0611361 50.5616881, 22.0608167 50.5617752, 22.0608314 50.5618052));50.5617458;22.060986253598706
Mickiewicza LO 02;POLYGON ((22.0644276 50.5628228, 22.0647054 50.5629326, 22.064719 50.5629187, 22.064636 50.5628859, 22.0646555 50.562866, 22.0645994 50.5628438, 22.0645807 50.5628628, 22.0644421 50.562808, 22.0644276 50.5628228));50.56287595;22.064603911202184
Czarnieckiego Os. Zasanie 04;POLYGON ((22.0901533 50.5671106, 22.0904714 50.5670889, 22.0904669 50.5670618, 22.0903503 50.5670698, 22.0903448 50.5670373, 22.0902599 50.5670431, 22.0902655 50.5670763, 22.0901488 50.5670843, 22.0901533 50.5671106));50.56707305;22.090366859944204
Czarnieckiego działki 01;POLYGON ((22.0891268 50.5672922, 22.089463 50.5672723, 22.0894673 50.5673015, 22.089427 50.5673039, 22.0894298 50.5673225, 22.0893583 50.5673268, 22.0893556 50.5673087, 22.0891312 50.567322, 22.0891268 50.5672922));50.56729685;22.089297050908453
Os. Zasanie 01;POLYGON ((22.093306 50.5627206, 22.0933106 50.5627561, 22.0932758 50.5627579, 22.0932713 50.5627224, 22.093306 50.5627206));50.56273925;22.093290926267606
Popiełuszki bazylika 01;POLYGON ((22.0687346 50.5688482, 22.0684755 50.568813, 22.0684605 50.5688575, 22.0687196 50.5688927, 22.0687346 50.5688482));50.56885285;22.06859755
1 Sierpnia szkoła im. T. Kościuszki 01;POLYGON ((22.0514203 50.5725183, 22.0512528 50.5724632, 22.051234 50.5724504, 22.0512438 50.5724384, 22.0514343 50.5725011, 22.0514203 50.5725183));50.57248215;22.051343565632735
Okulickiego bank 04;POLYGON ((22.0515876 50.5780743, 22.0514456 50.5782484, 22.0515004 50.5782363, 22.0515615 50.5781614, 22.0515883 50.5781703, 22.0516499 50.5780948, 22.0516205 50.5780851, 22.0515876 50.5780743));50.5781281;22.05158322510002
Okulickiego Górka 01;POLYGON ((22.0520717 50.5820295, 22.0523564 50.5821754, 22.0523337 50.5821932, 22.0522859 50.5821675, 22.0522744 50.5821759, 22.0522183 50.5821412, 22.052224 50.5821365, 22.0520529 50.582042, 22.0520717 50.5820295));50.582089249999996;22.052163371178885
Okulickiego ZBR 03;POLYGON ((22.0517849 50.5775803, 22.0519036 50.5774316, 22.051866 50.5774195, 22.0517473 50.5775682, 22.0517849 50.5775803));50.5774999;22.05182545
Okulickiego PKS 05;POLYGON ((22.0581254 50.5685727, 22.0581996 50.5684646, 22.0581713 50.5684568, 22.0580971 50.5685649, 22.0581254 50.5685727));50.56851475;22.058148350000003
Mickiewicza dworzec PKP 01;POLYGON ((22.0629618 50.5623723, 22.0632088 50.5624712, 22.0631905 50.5624897, 22.0630418 50.5624301, 22.0630262 50.5624458, 22.0629604 50.5624195, 22.0629774 50.5624024, 22.0629449 50.5623894, 22.0629618 50.5623723));50.56243795;22.063093572268073
Poniatowskiego supermarket 02;POLYGON ((22.0719458 50.5704055, 22.0722264 50.5703299, 22.0722522 50.5703686, 22.0719716 50.5704441, 22.0719458 50.5704055));50.57038705;22.072098954649164
Poniatowskiego supermarket 03;POLYGON ((22.0708308 50.5705761, 22.0710766 50.5705107, 22.0710599 50.5704853, 22.0708141 50.5705508, 22.0708308 50.5705761));50.57053075;22.070945292476235
Poniatowskiego ochronka 04;POLYGON ((22.0681904 50.5720826, 22.0684294 50.571903, 22.068457 50.5719167, 22.0684027 50.5719693, 22.0683264 50.5720251, 22.0682035 50.5720889, 22.0681904 50.5720826));50.5719972;22.068334297383075
Poniatowskiego bank 01;POLYGON ((22.0678022 50.5722111, 22.0676136 50.572378, 22.067582 50.5723637, 22.0677707 50.5721967, 22.0678022 50.5722111));50.57228739999999;22.067692097029834
KEN hotel Stal 01;POLYGON ((22.0623943 50.5770557, 22.0626216 50.577135, 22.0626072 50.5771517, 22.0625184 50.5771207, 22.0625121 50.5771279, 22.0624399 50.5771027, 22.0624463 50.5770953, 22.06238 50.5770722, 22.0623943 50.5770557));50.5771117;22.0625102501081
KEN wiadukt 03;POLYGON ((22.0569864 50.5745174, 22.0572 50.5746064, 22.0571765 50.5746291, 22.0569629 50.5745401, 22.0569864 50.5745174));50.57457325;22.05708145
KEN rondo 06;POLYGON ((22.0630215 50.5767252, 22.0632182 50.5768587, 22.0632595 50.5768342, 22.0630627 50.5767007, 22.0630215 50.5767252));50.5767797;22.06314047958802
Okulickiego supermarket 06;POLYGON ((22.0548148 50.5737118, 22.0547789 50.5737656, 22.0548523 50.5737854, 22.0548883 50.5737315, 22.0548148 50.5737118));50.573748550000005;22.054833594737687
Okulickiego wiadukt 07;POLYGON ((22.0548297 50.5733586, 22.0547301 50.573509, 22.0547055 50.5735024, 22.054805 50.573352, 22.0548297 50.5733586));50.5734305;22.054767576097078
Poniatowskiego szkoła 06;POLYGON ((22.0618031 50.5818322, 22.0617151 50.581999, 22.0617387 50.582004, 22.0618267 50.5818372, 22.0618031 50.5818322));50.5819181;22.0617709
Poniatowskiego szkoła 05;POLYGON ((22.0617991 50.5814039, 22.0617077 50.5815772, 22.061654 50.5815657, 22.0617454 50.5813925, 22.0617991 50.5814039));50.5814848;22.061726562317382
Galeria handlowa Vivo;POLYGON ((22.0635731 50.5850965, 22.0639279 50.5847097, 22.0639516 50.5847185, 22.0639804 50.5847291, 22.063745 50.5849858, 22.0636256 50.5851159, 22.063602 50.5851072, 22.0635731 50.5850965));50.58485745;22.063827536685622
Jodłowa 01;POLYGON ((22.029117 50.5953327, 22.0291344 50.5953459, 22.0289763 50.5954294, 22.0289589 50.5954162, 22.029117 50.5953327));50.59538105;22.029046649999998
Jodłowa 02;POLYGON ((22.0287588 50.5954619, 22.028917 50.595378, 22.0289001 50.5953651, 22.0287418 50.5954489, 22.0287588 50.5954619));50.595413449999995;22.028829461034462
Niezłomnych Starostwo Powiatowe 04;POLYGON ((22.0491325 50.5678233, 22.0491096 50.5679001, 22.0491375 50.5679034, 22.0491604 50.5678266, 22.0491325 50.5678233));50.567863349999996;22.049135
;POLYGON ((22.0240964 50.6025127, 22.0242988 50.6025976, 22.0244815 50.6026835, 22.0246606 50.6027771, 22.0248133 50.6028649, 22.0249814 50.6029747, 22.0251207 50.6030741, 22.0252198 50.6031504, 22.0252883 50.60321, 22.0253804 50.6032907, 22.0254671 50.603374, 22.0255371 50.6034486, 22.0256117 50.6035315, 22.0256766 50.6036077, 22.0257544 50.6037134, 22.0258152 50.6038031, 22.0258635 50.603882, 22.0259395 50.6038644, 22.0258876 50.6037861, 22.0258242 50.6036925, 22.0257455 50.6035829, 22.0256802 50.6035035, 22.0256051 50.6034206, 22.0255398 50.6033508, 22.0254832 50.6032971, 22.0254478 50.6032635, 22.0253092 50.6031405, 22.0252495 50.603091, 22.0251831 50.6030422, 22.025049 50.6029463, 22.0249991 50.6029138, 22.024872 50.6028311, 22.0247057 50.6027369, 22.0245179 50.6026393, 22.0243293 50.6025541, 22.0241379 50.6024787, 22.0240964 50.6025127));50.6031802;22.02530399256097
Sandomierska przystanek kolejowy 09;POLYGON ((22.025289 50.6031104, 22.0253978 50.603195, 22.0254245 50.603181, 22.0253157 50.6030968, 22.025289 50.6031104));50.6031457;22.025356642167132
Sandomierska przystanek kolejowy 10;POLYGON ((22.025289 50.6031104, 22.0253157 50.6030968, 22.0252019 50.6030068, 22.0251752 50.6030204, 22.025289 50.6031104));50.6030586;22.025245449999996
;POLYGON ((22.0761777 50.572384, 22.07623 50.5723971, 22.076372 50.5722666, 22.0763281 50.5722494, 22.0761777 50.572384));50.5723253;22.0762757088467
